Customer,Main Phone,Fax,Ship to 1,Ship to 2,Ship to 3
Universal - Hyde Park (Townsend),773-966-6465,708-394-3165,Universal Dental Clinics - Hyde Park,1634 East 53rd Street,"Chicago, IL 60615"
Universal - Michigan Ave,312-360-1010,,Universal Dental Clinics,1605 South Michigan Ave.,"Chicago, IL 60616"
Universal - Orland Park,708-403-3900,,Universal Dental Clinics - Orland Park,"8752 West 159th Street, Suite 8","Orland Park, IL 60462"
Universal - Orland Park (Al Yagoob),,,Universal Dental Clinics - Orland Park,8752 W. 159th Street,"Orland Park, IL 60462"
Universal - Orland Park (Ata),708-403-3900,708-966-2069,Universal Dental Clinics - Orland Park,"8752 West 159th Street, Suite 8","Orland Park, IL 60462"
Universal - Orland Park (Faucher),708-403-3900,,Universal Dental Clinics - Orland Park,"8752 West 159th Street, Suite 8","Orland Park, IL 60462"
Universal - Orland Park (Ramaha),708-301-1100,708-394-3165,Universal Dental Clinics - Orland Park,"8752 W. 159th Street, Suite 8","Orland Park, IL 60462"
Universal - Orland Square (Arnold),708-301-1100,,Universal Dental Clinics,10 Orland Square Drive,"Orland Park, IL 60462"
Universal - Orland Square (Fatima),708-301-1100,,Universal - Orland Square,10 Orland Square Drive,"Orland Park, IL 60462"
Universal - Orland Square (Issa),708-301-1100,,Universal Dental Clinics - Orland Square,10 Orland Square Drive,"Orland Park, IL 60462"
Universal - Orland Square (Ramaha),708-301-1100,708-966-2069,Universal Dental Clinics - Orland Square,10 Orland Square Drive,"Orland Park, IL 60462"
Universal - Orland Square (Sandusky),,,Universal Dental Clinics - Orland Square,10 Orland Square Drive,"Orland Park, IL 60462"
Universal - Orland Square (Vacca),708-301-1100,,Universal Dental Clinics - Orland Square,10 Orland Square Drive,"Orland Park, IL 60462"
Universal - Pulaski (Al Yagoob),773-647-1725,,Universal Dental Clinics - Pulaski,"4445 N. Pulaski Road, Suite R","Chicago, IL 60630"
Universal - Pulaski (Fatima),773-647-1725,,Universal - Pulaski,"4445 N. Pulaski Road, Suite R","Chicago, IL 60630"
Universal - Pulaski (Faucher),773-647-1725,,Universal Dental Clinics - Pulaski,"4445 N. Pulaski Road, Suite R","Chicago, IL 60630"
Universal - Pulaski (Marleny Landa),773-647-1725,,Universal Dental Clinics - Pulaski,"4445 N. Pulaski Road, Suite R","Chicago, IL 60630"
Universal - Pulaski (Ramaha),773-647-1725,708-394-3165,Universal Dental Clinics - Pulaski,"4445 N. Pulaski Road, Suite R","Chicago, IL 60630"
Universal - Pulaski (Sandusky),773-647-1725,,Universal Dental Clinics - Pulaski,"4445 N. Pulaski Road, Suite R","Chicago, IL 60630"
Universal - Pulaski (Vera),773-647-1725,,Universal Dental Clinics,"4445 N. Pulaski Road, Suite R","Chicago, IL 60630"
Universal - South Holland (Arnold),708-566-5188,,Universal Dental Clinics - South Holland,304 East 162nd Street,"South Holland, IL 60473"
Universal - South Holland (Kenya),708-566-5188,,Universal Dental Clinics - South Holland,304 East 162nd Street,"South Holland, IL 60473"
Universal - South Holland (Ramaha),708-566-5188,708-394-3165,Universal Dental Clinics - South Holland,304 East 162nd Street,"South Holland, IL 60473"
Universal Dental Clinic - Hyde Park,773-966-6465,,Universal Dental Clinic - Hyde Park,1634 East 53rd Street,"Chicago, IL 60615"
Valley Dental Care,815-436-6800,,Valley Dental Care Plainfield,2356 Route 59,"Plainfield, IL 60544"
Valley Dental Care - Oswego,630-551-7000,,Valley Dental Care - Oswego,3405 Orchard Road,"Oswego, IL 60543"
Valley Dental Care - Plainfield,815-436-6800,,Valley Dental Care,2356 South Route 59,"Plainfield, IL 60544"
"Virk, Dr. Amrit",847-526-1920,847-526-1960,"Virk, Dr. Amrit",115 East State Road,"Island Lake, IL 60042"
Wadsworth Dental,847-872-5530,,Wadsworth Dental,11316 W. Wadsworth Road,"Beach Park, IL 60099"
"WALLS, DR. JEFFREY",712-642-3671,,Dr. Jeffrey Walls,413 East Erie Street,"Missouri Valley, IA 51555"
"Watson, Dr. Joseph",773-221-4071,,Dr. Joseph Watson,1951 East 79th Street,"Chicago, IL 60649"
Waukegan Family Dental, (847) 336-7800,,Waukegan Family Dental,338 South Green Bay Road,"Waukegan, IL 60085"
Wegmann - Hyde Park,773-947-4665,773-256-2373,Chicago Osteopathic Hospital,"1525 East 53 Street, Suite 522","Chicago, IL 60615"
"Wegmann, Dr. Gary",312-551-0500,,Dr. Gary Wegmann,"111 North Wabash Ave., Suite 810","Chicago, IL 60602"
West Town Dental Group,773-634-9999,,West Town Dental Group,1229 North Ashland Avenue,"Chicago, IL 60622"
"Whipple, Dr. Jacob",847-272-2420,847-272-7691,Dr. Jacob Whipple,"1775 Walters Ave., Suite 110","Northbrook, IL 60062"
"William, Dr. DeJean",773-384-3885,,Dr. DeJean William,1363 North Ashland Ave.,"Chicago, IL 60622"
"Wilson, Dr. William",773-947-4665,,Dr. William Wilson,"1525 East 53rd Street, Suite 522","Chicago, IL 60615"
Winsor I Dental Care,(847) 244-7340,,Winsor I Dental Care,"501 North Riverside Dr, Suite 119","Gurnee, IL 60031"
"Wojciechowski, Dr. Mark",847-362-5511,847-362-5198,"Wojciechowski, Dr. Mark","800 South Milwaukee Ave., Suite 111","Libertyville, IL 60048"
Woodlake - Berwyn,708-788-4444,,Woodlake Dental,"3253 South Harlem, Suite 1C","Berwyn, IL 66402"
Woodlake Dental - Naperville,630-753-9955,630-753-9966,Woodlake Dental,"2879 West 95th Street, Suite 131","Naperville, IL 60564"
Woodland - Gurnee,847-672-6557,,Woodland Family Dental Care,"6631 Grand Avenue, Unit 1","Gurnee, IL 60031"
Woodlawn Dental Gallery,773-496-5138,,Woodlawn Dental Gallery,1502 East 63rd Street,"Chicago, IL 60637"
Zaibak Dental,708-802-9600,,Zaibak Dental,6828 171 Street,"Tinley Park, IL 60477"
"Zizic, Dr. - MICHIGAN AVE",312-360-1010,,Universal - Michigan Ave,1605 South Michigan Ave.,"Chicago, IL 60616"
"Zurek, Dr. John",(630) 355-5017,,Dr. John Zurek,1001 North Washington,"Naperville, IL 60563"
